EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
2.284,8.260,3.587,1.366,6.264,5.717,2.661,2.194,-0.026,0.940,-0.370,1.434,2.472,-0.488,60.000,229077.000,1.000
-4.622,16.928,2.486,-7.702,-0.563,1.021,-8.019,0.140,-0.025,0.938,-0.372,1.312,2.502,-0.549,60.000,229078.000,1.000
-7.905,11.402,-3.115,-10.221,-4.389,-3.530,-11.510,-2.786,-0.025,0.938,-0.373,1.373,2.441,-0.488,60.000,229079.000,1.000
-3.960,-2.358,-5.946,-1.358,-0.488,-2.639,-4.000,-2.294,-0.024,0.938,-0.368,1.343,2.441,-0.488,60.000,229080.000,1.000
0.785,-7.737,-2.788,7.919,4.649,0.824,2.516,0.989,-0.023,0.938,-0.369,1.343,2.411,-0.580,60.000,229081.000,1.000
-1.128,-0.175,1.097,5.839,2.420,-0.054,-2.935,2.294,-0.023,0.939,-0.371,1.312,2.350,-0.519,60.000,229082.000,1.000
-7.652,6.971,-0.576,-3.925,-5.699,-6.213,-14.647,-0.671,-0.024,0.940,-0.371,1.251,2.411,-0.580,60.000,229083.000,1.000
-9.706,1.463,-6.065,-7.170,-9.702,-10.641,-17.480,-4.260,-0.024,0.938,-0.370,1.282,2.441,-0.549,60.000,229084.000,1.000
-3.336,-10.279,-7.671,1.556,-4.301,-7.381,-7.182,-3.363,-0.025,0.938,-0.372,1.282,2.411,-0.580,60.000,229085.000,1.000
4.834,-11.806,-2.481,11.626,4.027,0.441,3.882,1.899,-0.026,0.939,-0.373,1.373,2.441,-0.610,60.000,229086.000,1.000
6.295,0.336,3.105,10.897,5.729,4.491,3.385,6.224,-0.025,0.940,-0.374,1.251,2.472,-0.519,60.000,229087.000,1.000
1.774,11.267,1.775,2.148,0.790,1.938,-4.689,5.979,-0.025,0.941,-0.372,1.312,2.411,-0.549,60.000,229088.000,1.000
-0.352,7.678,-4.763,-1.240,-1.971,-1.483,-6.392,3.496,-0.027,0.941,-0.369,1.251,2.411,-0.549,60.000,229089.000,1.000
3.991,-4.319,-7.960,5.740,2.295,0.033,2.297,3.078,-0.025,0.943,-0.371,1.190,2.350,-0.488,60.000,229090.000,1.000
9.014,-7.830,-3.700,12.667,7.622,4.326,9.847,4.708,-0.025,0.940,-0.370,1.099,2.319,-0.397,60.000,229091.000,1.000
7.523,1.716,2.659,8.453,5.926,4.833,5.632,4.434,-0.026,0.939,-0.367,1.068,2.411,-0.458,60.000,229092.000,1.000
1.427,10.857,4.081,-2.656,-1.004,0.593,-4.524,0.766,-0.025,0.939,-0.369,1.129,2.319,-0.488,60.000,229093.000,1.000
-0.537,7.344,1.467,-6.301,-3.204,-1.610,-5.570,-2.169,-0.024,0.937,-0.371,1.251,2.228,-0.336,60.000,229094.000,1.000
5.104,-2.636,1.836,2.492,3.996,3.618,6.290,0.414,-0.024,0.938,-0.369,1.282,2.380,-0.458,60.000,229095.000,1.000
11.438,-3.291,7.816,12.355,13.184,12.359,17.938,7.327,-0.026,0.938,-0.372,1.343,2.411,-0.458,60.000,229096.000,1.000
10.276,8.219,13.271,10.772,14.299,15.835,16.491,12.201,-0.024,0.937,-0.370,1.343,2.411,-0.305,60.000,229097.000,1.000
3.016,16.991,11.278,0.636,7.567,11.431,5.892,10.918,-0.024,0.937,-0.372,1.404,2.380,-0.244,60.000,229098.000,1.000
-1.640,10.208,3.476,-4.404,2.323,5.296,0.354,6.008,-0.024,0.937,-0.369,1.434,2.380,-0.305,60.000,229099.000,1.000
